description,industry,level,size,line_code,value
Business main customer: individuals or households,total,0,6�19 employees,C0300.01,15639
Business main customer: individuals or households,total,0,20�49 employees,C0300.01,2943
Business main customer: individuals or households,total,0,50�99 employees,C0300.01,639
Business main customer: individuals or households,total,0,100+ employees,C0300.01,555
Business main customer: individuals or households,"Agriculture, forestry, & fishing",1,total,C0300.01,348
Business main customer: individuals or households,Agriculture,2,total,C0300.01,177
Business main customer: individuals or households,Commercial fishing,2,total,C0300.01,3
Business main customer: individuals or households,Forestry & logging,2,total,C0300.01,12
Business main customer: individuals or households,"Agriculture, forestry, & fishing support services",2,total,C0300.01,159
Business main customer: individuals or households,Mining,1,total,C0300.01,12
Business main customer: individuals or households,Manufacturing,1,total,C0300.01,1230
Business main customer: individuals or households,"Food, beverage, & tobacco",2,total,C0300.01,462
Business main customer: individuals or households,"Textile, clothing, footwear, & leather",2,total,C0300.01,66
Business main customer: individuals or households,Wood & paper product,2,total,C0300.01,117
Business main customer: individuals or households,"Printing, publishing, & recorded media",2,total,C0300.01,3
Business main customer: individuals or households,"Petroleum, coal, chemical, & associated product",2,total,C0300.01,54
Business main customer: individuals or households,Non-metallic mineral product,2,total,C0300.01,54
Business main customer: individuals or households,Metal product,2,total,C0300.01,153
Business main customer: individuals or households,Transport and industrial machinery & equipment,2,total,C0300.01,189
Business main customer: individuals or households,Other machinery & equipment,2,total,C0300.01,12
Business main customer: individuals or households,Other manufacturing,2,total,C0300.01,120
Business main customer: individuals or households,"Electricity, gas, water, & waste services",1,total,C0300.01,51
Business main customer: individuals or households,Construction,1,total,C0300.01,2544
Business main customer: individuals or households,Wholesale trade,1,total,C0300.01,387
Business main customer: individuals or households,Machinery & equipment wholesaling,2,total,C0300.01,48
Business main customer: individuals or households,Other wholesale trade,2,total,C0300.01,336
Business main customer: individuals or households,Retail trade,1,total,C0300.01,3558
Business main customer: individuals or households,Accommodation & food services,1,total,C0300.01,5598
Business main customer: individuals or households,"Transport, postal, & warehousing",1,total,C0300.01,372
Business main customer: individuals or households,Information media & telecommunications,1,total,C0300.01,123
Business main customer: individuals or households,Publishing,2,total,C0300.01,27
Business main customer: individuals or households,Motion picture,2,total,C0300.01,69
Business main customer: individuals or households,Telecommunications,2,total,C0300.01,27
Business main customer: individuals or households,Financial & insurance services,1,total,C0300.01,273
Business main customer: individuals or households,Finance,2,total,C0300.01,81
Business main customer: individuals or households,Insurance,2,total,C0300.01,21
Business main customer: individuals or households,Auxiliary,2,total,C0300.01,174
Business main customer: individuals or households,"Rental, hiring, & real estate services",1,total,C0300.01,453
Business main customer: individuals or households,"Professional, scientific, & technical services",1,total,C0300.01,1191
Business main customer: individuals or households,Computer systems design,2,total,C0300.01,27
